while cycling in the country	4
i had pocket qq and was feeling pretty confident lol	1
i am in no way complaining or whining or feeling ungrateful	0
i feel a bit stressed because it feels like im supposed to do something all the time and that i should be reading now	3
i tell the people closest to me things that i am feeling and its as if they arent surprised because theyd known it all along	5
when my relatives and i were in a car going slowly on a frozen road	4
i am trying to work on finding the joy in the simple thing that god is finding joy in my obedience to him even if it doesn t feel very joyful in the way that i am used to	1
i know intellectually that it s not true but i feel entirely isolated	0
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it	4
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff	0
im not going to lie some days i feel uber supportive and other days i feel uber frustrated	2
i suppose its only natural to squeeze every half hour out of the last five days to spend the time with family making memories and with friends promising more but it feels like someone elses life in a numb way	0
i was a feeling a bit low a few weeks back and i just focused on all the things that werent right in my life at the moment the requests that i had made that hadnt been granted	0
im even starting to feel more sociable	1
i just focus on my sermon itself and think about all of the research and writing and practicing that lies ahead of me i feel burdened	0
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me	1
i didnt even have time to feel jealous i was so busy pinning her pictures and writing down a href http nanashi	3
i feel accepted there said panorma who is from indonesia	2
i was feeling doubtful and sad about the relationship i have with this man	4
i was feeling bad over it with every passing minute	0

